learner_id,subject,tutoring_attendance_pct,videos_watched,watch_time_minutes
LND1107,Physical Sciences,100.0,9.0,
LND1109,Physical Sciences,91.6,39.0,867.0
LND1110,Accounting,80.5,28.0,
LND1111,Life Sciences,83.9,36.0,891.9
LND1112,Physical Sciences,90.1,8.0,
LND1114,Mathematics,91.6,5.0,121.1
LND1114,Physical Sciences,,1.0,16.5
LND1115,Life Sciences,61.2,20.0,479.9
LND1116,Mathematics,64.3,30.0,617.8
LND1119,Accounting,79.8,1.0,19.7
LND1120,Mathematics,67.6,36.0,595.4
LND1121,Mathematics,77.2,32.0,593.1
LND1122,Life Sciences,67.9,4.0,62.0
LND1122,Mathematics,88.6,21.0,261.1
LND1123,Physical Sciences,81.6,8.0,91.3
LND1123,Accounting,64.7,2.0,43.9
LND1124,Mathematics,62.7,12.0,175.8
LND1124,Accounting,82.8,17.0,209.2
LND1125,Life Sciences,74.8,31.0,490.6
LND1125,Physical Sciences,54.1,27.0,314.4
LND1126,Mathematics,66.4,18.0,269.0
LND1126,Physical Sciences,84.5,22.0,373.6
LND1127,Mathematics,58.0,1.0,12.6
LND1130,Life Sciences,97.5,2.0,38.5
LND1130,Accounting,68.6,4.0,75.3
LND1131,Mathematics,51.3,11.0,195.1
LND1132,Physical Sciences,60.7,39.0,571.0
LND1132,Accounting,56.1,4.0,68.2
LND1134,Physical Sciences,85.5,35.0,642.7
LND1134,Life Sciences,85.6,40.0,521.0
LND1135,Physical Sciences,89.5,1.0,
LND1136,Mathematics,,4.0,59.9
LND1137,Mathematics,56.3,20.0,396.3
LND1138,Mathematics,75.9,19.0,244.9
LND1139,Mathematics,59.8,35.0,506.8
LND1139,Life Sciences,54.7,10.0,190.8
LND1140,Mathematics,91.3,1.0,11.7
LND1141,Physical Sciences,74.1,25.0,370.3
LND1141,Life Sciences,,30.0,517.0
LND1142,Physical Sciences,98.8,8.0,172.2
LND1142,Life Sciences,62.1,7.0,100.6
LND1143,Mathematics,62.4,10.0,223.0
LND1143,Accounting,59.5,10.0,177.2
LND1144,Mathematics,97.3,32.0,548.2
LND1146,Life Sciences,50.4,6.0,100.5
LND1146,Mathematics,88.2,23.0,256.6
LND1147,Mathematics,,35.0,509.5
LND1147,Accounting,55.9,6.0,97.3
LND1148,Physical Sciences,80.1,25.0,443.8
LND1149,Mathematics,57.4,32.0,400.9
LND1149,Accounting,69.6,39.0,827.6
